country,ses2,score,rank,year,survey
Albania,1.0,57.29999999999927,0.0,2000,PISA
Albania,1.0,89.06849999999831,1.0,2000,PISA
Albania,1.0,125.35499999999956,2.0,2000,PISA
Albania,1.0,143.58099999999322,3.0,2000,PISA
Albania,1.0,156.19799999999668,4.0,2000,PISA
Albania,1.0,179.80499999999665,5.0,2000,PISA
Albania,1.0,188.98199999999707,6.0,2000,PISA
Albania,1.0,194.72749999999834,7.0,2000,PISA
Albania,1.0,202.21799999999638,8.0,2000,PISA
Albania,1.0,208.2684999999994,9.0,2000,PISA
Albania,1.0,213.52499999999782,10.0,2000,PISA
Albania,1.0,215.92199999999394,11.0,2000,PISA
Albania,1.0,219.69599999999483,12.0,2000,PISA
Albania,1.0,223.0474999999995,13.0,2000,PISA
Albania,1.0,226.9689999999959,14.0,2000,PISA
Albania,1.0,232.8274999999976,15.0,2000,PISA
Albania,1.0,236.141999999994,16.0,2000,PISA
Albania,1.0,240.0394999999975,17.0,2000,PISA
Albania,1.0,244.47299999999524,18.0,2000,PISA
Albania,1.0,246.08399999999747,19.0,2000,PISA
Albania,1.0,248.7899999999936,20.0,2000,PISA
Albania,1.0,250.2899999999936,21.0,2000,PISA
Albania,1.0,253.2459999999963,22.0,2000,PISA
Albania,1.0,255.51549999999554,23.0,2000,PISA
Albania,1.0,262.1579999999958,24.0,2000,PISA
Albania,1.0,264.81749999999374,25.0,2000,PISA
Albania,1.0,266.8489999999904,26.0,2000,PISA
Albania,1.0,269.7979999999872,27.0,2000,PISA
Albania,1.0,274.34799999999524,28.0,2000,PISA
Albania,1.0,276.1069999999978,29.0,2000,PISA
Albania,1.0,278.2749999999942,30.0,2000,PISA
Albania,1.0,282.02599999999796,31.0,2000,PISA
Albania,1.0,283.27599999998637,32.0,2000,PISA
Albania,1.0,285.51499999999504,33.0,2000,PISA
Albania,1.0,290.45699999999636,34.0,2000,PISA
Albania,1.0,294.51249999999715,35.0,2000,PISA
Albania,1.0,296.9079999999958,36.0,2000,PISA
